Name,Field(s),Dates,Notes
Alexandra Elbakyan,,1988,known for creating the Sci-Hub
Huda Zoghbi,,1954,Lebanese-American geneticist known for research in the Rett syndrome and spinocerebellar ataxia type 1
Urtė Neniškytė,,1983,researching the interaction of neurons and immune cells in the brain
Christiane Linster,,1962,Systems and Computational Neuroscience
Mónica Andrea López Hidalgo,,,"researching astrocytes,cognitive function,and age-related changes"
Beatrice de Gelder,,1944,cognitive neuroscientist and neuropsychologist at Tilburg University
Astrid Linthorst,,1990,neuroscientist specializing in the neurochemistry and neuroendocrinology of stress and behavior
Sabine Spijker,,1990,neuroscientist researching the effect of neuropsychiatric ailments on cognition
Eveline Crone,,1975,"professor of cognitive neuroscience and developmental psychology, known for her work on the function of risky behaviours in pubertal adolescents"
Marianne Fillenz,,1924-2012,Romanian-born New Zealand neuroscientist known for research on he physiology of the autonomic nervous system
Kate Jeffery,,1962,professor of behavioural neuroscience at University College London
Jenny Morton,,1991,neurobiologist specializing in neurodegenerative diseases
Siri Leknes,,2008,neuroscientist known for directing he Leknes Affective Brain Lab
May-Britt Moser,,1963,"psychologist, neuroscientist and Nobel laureate known for work on grid cells"
Kristine Beate Walhovd,,1976,psychologist and neuroscientist researching lifespan changes in brain and cognition
Aafia Siddiqui,,1972,neuroscientist convicted of seven counts of attempted murder and assault of US personnel
Łucja Frey,,1889-1942,"neurologist known for describing the auriculotemporal nerve syndrome, now widely known as ""Frey's syndrome"""
Małgorzata Kossut,,1950,neuroscientist specializing in neuroplasticity and neural mechanisms of learning and memory
Liliana Lubińska,,1904-1990,neuroscientist known for her research on the peripheral nervous system and her discovery of bidirectional axoplasmic transport
Irena Nalepa,,1951,"neuroscientist, pharmacologist and biochemist"
Nathalie Zand,,1884-1942,"neurologist known for studying the choroid plexus and publishing Les plexus choroïdes: Anatomie, physiologie, pathologie"
Megan Carey,,2005,neuroscientist and leader of the Neural Circuits and Behavior Laboratory at the Champalimaud Centre for the Unknown in Lisbon
Hanna Damasio,,1960,"neuroscientist using brain imaging methods, such as computerized tomography and nuclear magnetic resonance for investigating brain diseases"
Susana Lima,,2005,researching neural mechanisms of sexual behavior and male choice
Paula Isabel da Silva Moreira,,1975,neuroscientist known for discoveries concerning mitochondrial oxidation in Alzheimer's disease
Viviana Gradinaru,,1981,Romanian-American professor of neuroscience at the California Institute of Technology
Marianne Fillenz,,1924-2012,known for investigating the physiology of the autonomic nervous system
Ruxandra Sireteanu,,1945-2008,biophysicist and neuroscientist who researched the human visual system
Natalia Bekhtereva,,1924-2008,neuroscientist and psychologist known for developing neurophysiological approaches to psychology
Serafima Bryusova,,1894-1958,"first female neurosurgeon, studied brain angiography and Circle of Willis"
Svetlana Dambinova,,1949,neuroscientists known for her research on glutamate receptors
Angelina Guskova,,1924-2015,"neurologist, neurosurgeon and radiation protection expert"
Ol'ga Leonova,,1890-1910,embryologist and physician known for work on congenital disorders and the connection between central nervous system damage and eye disease
Taisiya Sergeevna Osintseva,,1923-2008,neurologist interested in chronic feral nidal infections of the nervous system
Tatiana Rosenthal,,1885-1921,"psychoanalyst, physician and specialist in neurology"
Olga Vinogradova,,1929-2001,cognitive neuroscientist
Claire Karekezi,,1982,neurosurgeon at the Rwanda Military Hospital in Kigali
Dragana Rogulja,,2015,neuroscientist and circadian biologist at the Harvard Medical School Blacatnik Institute of Neurobiology
Frances Ames,,1920-2002,"neurologist, psychiatrist, and human rights activist who studied the effects of cannabis on the brain"
Gloria Choi,,2000-,neuroscientist studying maternal immune activation models of autism spectrum disorder
María Domínguez Castellano,,1965,"neuroscientist, director of Developmental Neurobiology at the Institute of Neurosciences, Alicante"
Susana Martinez-Conde,,1969,neuroscientist and science writer investigating how our brains create perceptual and cognitive illusions
Carmen Sandi,,1980,research into the neurobiological mechanisms of how stress alters the brain
Annica Dahlström,,1941,neuroscientist with a research focus on how nerve cells store and transport signals
Isabelle Dussauge,,2010,cognitive neuroscientist who co.founded the NeuroGenderings Networl
Mouna Esmaeilzadeh,,1980,Iranian-Swedish neuroscientist and entrepreneur known for her longevity clinic using genetic analyses as part of advanced health check-ups on her patients
Pam Fredman,,1950,"neuroscientist, president of the International Association of Universities"
Ivanka Savic,,1953,Serbian-Swedish neuroscientist at the Karolinska Institute known for neurophysiology and neuroimaging research
Silvia Arber,,1968,neurobiologist investigating the mechanisms involved in the function and assembly of neuronal circuits controlling motor behaviour
Aude Billard,,1971,physicist and computational neuroscientist creating machine learning algorithms to develop models of machine learning in humans
Jocelyne Bloch,,2002,neuroscientist investigating deep brain stimulation and brain repair for movement disorders
Victoria Chan-Palay,,1945,"Singaporean-born Swiss neuroscientist, founder of the journal Dementia and Geriatric Cognitive Disorders"
Anelis Kaiser,,2008,neuroscientist exploring the influence of heteronormative notions of sexual orientation
Melanie Greter,,2000,neuroimmunologist studying the ontogeny of microglia and border-associated macrophages
Sophie Schwartz,,1965,professor at the University of Geneva studying neural mechanisms underpinning experience-dependent changes in the human brain
Denise Hsien Wu,,2007,"professor of neuroscience, chair of the Institute of Cognitive Neuroscience, National Central University"
Michelle Antoine,,2020,neuroscientist researching the notion of excitatory-inhibitory balance and its role in autism
Cagla Eroglu,,2010,neuroscientist and associate professor of cell biology and neurobiology at Duke University
Nilay Yapici,,2000,is a neuroscientist at Cornell University who studies the neural circuits underlying decision making and feeding behavior in fruit fly models to pave the way towards an understanding of how to target and treat obesity and eating disorders in patients
Juliet Sekabunga Nalwanga,,2018,Uganda's first female neurosurgeon
Ingrid Allen,,1932-2020,known for research into neurodegradation
Sarah-Jayne Blakemore,,1974,research into the perception of causality in the human brain
Gemma Calvert,,1990,researching multisensory brain systems and how the power of the subconscious brain affects marketing
Helen Cassaday,,1990,neuroscientist investigating the underlying biology of associative learning processes
Nicola Clayton,,1962,psychologist specializing in comparative cognition
Hannah Critchlow,,1980,neuroscientist with a research focus on cellular and molecular neuroscience
Iroise Dumontheil,,2015,neuroscientist with a research focus on the social cognition and executive functions associated with the rostral prefrontal cortex
Wendy Ewart,,2000,responsible for the development of the Medical Research Council's strategic plan
Elizabeth Fisher,,1980,professor at University College London investigating degeneration of motor neurons triggered by Down syndrome
Maria Fitzgerald,,1953,neuroscientist studying the developmental physiology and neurobiology of nociceptor circuits in the brain and spinal cord
Sarah Garfinkel,,2006,neuroscientist studying the link between interoception and the brain
Sonia Gandhi,,2000,"Francis Crick Institute neurodegeneration laboratory, investigating molecular mechanisms behind Parkinson's disease"
Alison Goate,,1980,known for studying the genetics of Alzheimer's disease and related dementias
Usha Goswami,,1960,"neuroscientist investigating the neural basis of developmental dyslexia, of speech and language impairments, and of rhythmic motor behaviour"
Susan Greenfield,,1950,"scientist, writer and broadcaster with a research focus on he treatment of Parkinson's and Alzheimer's diseases"
Francesca Happé,,1967,cognitive neuroscientist investigating autism spectrum conditions
Julie M. Harris,,1967,"psychologist who studies binocular vision, vision and animal patterning"
Jane Hayley,,2012,"electrophysiologist, neuroscience scientific coordinator at the University of Edinburgh"
Christine Holt,,1954,developmental neuroscientist investigating the basic mechanisms of the vertebrate brain
Heidi Johansen-Berg,,1974,"professor of cognitive neuroscience at the University of Oxford, studying brain plasticity in regard to stroke rehabilitation and ageing"
Eve Johnstone,,1944,"Scottish physician, clinical researcher, psychiatrist and academic investigating schizophrenia and psychotic illness"
Annette Karmiloff-Smith,,1938-2016,cognitive neuroscientist known for research into Williams syndrome
Tara Keck,,2000,neuroscientist investigating synaptic and homeostatic plasticity in the neocortex
Diane Lipscombe,,1960,"professor of neuroscience at the Robert J. and Nancy D. Carney Institute for Brain Science, Brown University"
Jennifer S. Lund,,1940,anatomist focused on he organization of feedforward and feedback circuits in the neocortex
Giovanna Mallucci,,2000,neuroscientist specializing in neurodegenerative diseases
Ruth McKernan,,1980,neuroscientist known for her work on ligand-gated ion channels as well as for services to business and innovation
Katharine Montagu,,1966,first to identify dopamine in the human brain
Freda Newcombe,,1925-2001,clinical neuropsychologist playing a pivotal role in the development of cognitive neuropsychology
Esther Odekunle,,2010,neurobiologist and antibody engineer researching risks from antibodies
Karalyn Patterson,,1943,specialist in cognitive neuropsychology
Marysia Placzek,,2012,professor of developmental neurobiology at the University of Sheffield
Cathy Price,,1990,professor of cognitive neuroscience at University College London
Gina Rippon,,1950,"research involving the application of brain imaging techniques, particularly electroencephalography and magnetoencephalography"
Katya Rubia,,1994,neuroscientist best known for her work in child cognitive neuroscience and neuropsychiatry
Barbara Sahakian,,2000,"known for her contributions to psychopharmacology, neuroethics, neuropsychology, neuropsychiatry and neuroimaging"
Sophie Scott,,1966,"neuroscientist investigating the cognitive neuroscience of voices, speech and laughter"
Aditi Shankardass,,2009,clinical work using electroencephalogram recordings of the brain to diagnose developmental disorders in children
Rebeccah Slater,,2010,professor of paediatric neuroscience at the University of Oxford
Maria Grazia Spillantini,,1980,neuroscientist noted for identifying the protein alpha-synuclein as the major component of Lewy bodies
Tara Spires-Jones,,1976,neuroscientists studying synapse degeneration and resilience in Alzheimer's and other neurodegenerative diseases
Susan Standring,,1970,"experimental neurobiologist, writer and researcher"
Karen Steel,,1990,"geneticist studying the genetics behind deafness, mainly focusing on the genetics of mice"
Sarah Tabrizi,,1965,British-Iranian neurologist and neuroscientist in the field of neurodegeneration
Kathleen Taylor,,2000,"neuroscientist with a focus on physiology, psychology and the neuroscience of belief"
Irene Tracey,,1966,research focused on the neuroscience of pain perception and analgesia
Anne Treisman,,1935-2018,"cognitive psychologist researching visual attention, object perception, and memory"
Angela Vincent,,1942,"known for research in the areas of molecular biology, biochemistry, cellular immunology and intracellular neurophysiology"
Elizabeth Warrington,,1931,neuropsychologist specialised in the study of dementia
Heather Whalley,,2010,psychiatrist with a research focus on the mechanisms underlying the development of major psychiatric disorders
Barbara Wilson,,1941,"psychologist, founder of the Oliver Zangwill Centre for Neuropsychological Rehabilitation, Ely, Cambridgeshire"
Emma Yhnell,,2015,neuroscientists with a research focus on Huntington's disease
Carmela Abraham,,1990,neuroscientist studying Alzheimer's disease
Susan Ackerman,,2000,neuroscientist and geneticist known for investigating genetic and biochemical factors behind the central nervous system
Elizabeth Adkins-Regan,,1945,comparative behavioural neuroendocrinologist known for research on the hormonal and neural mechanisms of reproductive behaviour
Huda Akil,,1945,Syrian-American neuroscientist focusing on the neurobiology of emotions
Susan Amara,,2000,neuroscientist focusing on the parts of the brain activated by the effects of addictive drugs
Julia Tutelman Apter,,1979,One of the first specialists in neurophysiological research[1]
Nancy Coover Andreasen,,1938,neuroscientist and neuropsychiatrist known for developing the concept of negative symptoms in schizophrenia
Anne M. Andrews,,1990,neuroscientist focused on the neurochemistry of the brain's serotonin system
Amy Arnsten,,1980,neuroscientist focused on the molecular mechanisms behind the higher cortical circuits governing cognition
Ream Al-Hasani,,,"British-born American neuroscientist and pharmacologist studying endogenous opioids in addiction,pain,and affective disorders"
Kristin Baldwin,,1998,neuroecientist focusing on reprogrammed and induced pluripotent stem cells to study the epigenetic changes of the genome and brain
Tracy Bale,,1969,neuroscientist and molecular biologist focusing on parental prenatal stress and its effect on offspring
Cornelia Bargmann,,1962,neurobiologist known for her work on the genetic and neural circuit mechanisms of behavior using C. elegans
Carol A. Barnes,,2000,neuroscientist focusing on the neurophysiological and behavioral changes that occur in the brain during ageing
Lisa Feldman Barrett,,1963,"psychologist and neuroscientist studying emotion, known for How Emotions are Made: The Secret Life of the Brain"
Susan R. Barry,,1981,neurobiologist and physician known for her Fixing My Gaze: A Scientist's Journey into Seeing in Three Dimensions
Jessica Barson,,2010,neuroscientist investigating neuropeptide signalling in the paraventricular nucleus of the thalamus
Danielle Bassett,,1981,physicist and systems neuroscientist applying network science to the study of learning in the human brain
Amy Bastian,,1968,neuroscientist contributing to the neuroscience of sensorimotor control
Diana Bautista,,2000,"neuroscientist known for her work on the molecular mechanisms underlying itch, touch and pain"
Elaine Bearer,,1990,"neuroscientist, pathologist and composer, recent research on magnetic resonance imaging of neural connections and brain activity in transgenic mouse models of human disorders"
Marlene Behrmann,,1959,psychologist specializing in the cognitive neuroscience of visual perception
Ursula Bellugi,,1931,German-American neuroscientist researching the biological bases of language
April A. Benasich,,1980,neuroscientist known for research on the early neural processes necessary for normal cognitive and language development
Joanne Berger-Sweeney,,1990,"neuroscientist researching the neurobiology of learning and memory, with applications to neurodevelopmental disorders"
Heather A. Berlin,,2000,neuroscientist noted for her work in science communication and outreach
Mayim Bialik,,1975,"actress, author and neuroscientist"
Staci Bilbo,,2000,neuroimmunologist and professor of psychology and neuroscience at Duke University
Sherilynn Black,,2010,neuroscientist at Duke University researching social neuroscience
Eliza Bliss-Moreau,,2008,neuroscientist focusing on the biology of emotions in humans and animals
Brenda Bloodgood,,2000,neuroscientist studying synaptic plasticity
Jill Bolte Taylor,,1959,"neuroanatomist, author, and inspirational public speaker, known for studying severe mental illnesses and her My Stroke of Insight, A Brain Scientist's Personal Journey"
Susan Y. Bookheimer,,2010,neuroscientist known for her work developing brain imaging techniques to help patients with Alzheimer's and related disease
